name,description,source,github_url,website,github_stars,github_forks,star_velocity,momentum_score,language,topics,founded_year,funding_total,location,ph_upvotes,ph_comments,launch_date,combined_momentum
JerryZLiu,"Generate a timeline of your day, automatically",GitHub,https://github.com/JerryZLiu/Dayflow,,3769,157,107.68571428571428,5967.5,Swift,"gemini, lmstudio, ollama, productivity, productivity-tools, swift, time, timeline",2025,0,,,,,5967.5
vicinaehq,"A focused launcher for your desktop — native, fast, extensible",GitHub,https://github.com/vicinaehq/vicinae,https://docs.vicinae.com,3324,76,36.130434782608695,5138.0,C++,"app-launcher, linux, nodejs, poweruser, productivity, qt, raycast, react",2025,0,,,,,5138.0
EdoStra,Practical marketing resources to get the first 10/100/1000 users for your SaaS/App/Startup,GitHub,https://github.com/EdoStra/Marketing-for-Founders,,2277,247,14.055555555555555,3909.5,,"collection, educational, growth, list, marketing, resources, saas, startup",2025,0,,,,,3909.5
deta,"Personal AI Notebooks. Organize files & webpages and generate notes from them. Open source, local & open data, open model choice (incl. local).",GitHub,https://github.com/deta/surf,https://deta.surf,2049,131,256.125,3335.5,TypeScript,"claude, deepseek, gemma, knowledge-base, knowledge-management, llm, local, local-llm, ollama, openai, productivity, rust, svelte, typescript",2025,0,,,,,3335.5
Pika 1.0,Idea-to-video platform,Product Hunt,,https://pika.art,0,0,0.0,0.0,,"ai, video, creativity",2023,0,,4100.0,320.0,2023-11-28,2370.0
v0 by Vercel,Generate UI with AI,Product Hunt,,https://v0.dev,0,0,0.0,0.0,,"ai, developer tools, design",2023,0,,3200.0,250.0,2023-10-15,1850.0
wshobson,A collection of production-ready slash commands for Claude Code,GitHub,https://github.com/wshobson/commands,https://sethhobson.com,1027,147,7.551470588235294,1834.5,,"ai, ai-agents, anthropic, automation, claude, claude-code, claude-commands, claudecode, claudecode-config, orchestration, productivity, slash-command, slash-commands, slashcommands, workflows",2025,0,,,,,1834.5
Cursor AI,AI-first code editor,Product Hunt,,https://cursor.sh,0,0,0.0,0.0,,"developer tools, ai, coding",2024,0,,2500.0,180.0,2024-01-15,1430.0
qdhenry,"Professional slash commands for Claude Code that provide   structured workflows for software development tasks including   code review, feature creation, security auditing, and architectural analysis.",GitHub,https://github.com/qdhenry/Claude-Command-Suite,https://docs.anthropic.com/en/docs/claude-code,787,77,5.744525547445256,1334.5,Shell,"ai-tools, anthropic, claude-code, cli-tools, code-review, developer-tools, productivity, security-audit, slash-commands, software-development, workflow-automation",2025,0,,,,,1334.5
Perplexity Pages,Turn research into beautiful content,Product Hunt,,https://perplexity.ai,0,0,0.0,0.0,,"ai, research, content",2024,0,,2200.0,145.0,2024-03-10,1245.0
dohsimpson,TaskTrove is a modern Todo Manager that is fully self-hostable.,GitHub,https://github.com/dohsimpson/TaskTrove,https://tasktrove.io,688,10,6.254545454545455,1052.0,TypeScript,"api, calendar, docker, kanban, productivity, project-management, react, self-hosted, todo, todoapp, todolist",2025,0,,,,,1052.0
Supermaven,Fastest AI code completion,Product Hunt,,https://supermaven.com,0,0,0.0,0.0,,"ai, developer tools, productivity",2024,0,,1800.0,120.0,2024-02-01,1020.0
danielmiessler,Personal AI Infrastructure for upgrading humans.,GitHub,https://github.com/danielmiessler/Personal_AI_Infrastructure,,502,101,10.04,955.0,JavaScript,"ai, augmentation, productivity",2025,0,,,,,955.0
unhappychoice,A CLI code-typing game that turns your source code into typing challenges,GitHub,https://github.com/unhappychoice/gittype,,589,14,9.655737704918034,911.5,Rust,"cli-game, cli-tool, code-practice, coding-skills, gamification, learning-tool, productivity, programming, ratatui, rust, terminal-game, touch-typing, tree-sitter, typing-game, typing-practice, typing-test, typing-trainer, typingtest",2025,0,,,,,911.5
AnoyRC,All-in-one Productivity App,GitHub,https://github.com/AnoyRC/priospace,https://prio.space/home,528,50,5.28,892.0,JavaScript,"ios, mac, open-source, private, productivity, website, windows",2025,0,,,,,892.0
ysm-dev,📥 cpdown - Copy to clipboard any webpage content/youtube subtitle as clean markdown with one click or shortcut,GitHub,https://github.com/ysm-dev/cpdown,https://chromewebstore.google.com/detail/cpdown/knnaflplggjdedobhbidojmmnocfbopf,485,22,3.012422360248447,771.5,TypeScript,"extension, llm, markdown, productivity, react, subtitle, wxt, youtube",2025,0,,,,,771.5
joinly-ai,Make your meetings accessible to AI Agents,GitHub,https://github.com/joinly-ai/joinly,https://joinly.ai,383,47,2.5197368421052633,668.5,Python,"agentic-ai, ai-agent, ai-tool, conversational-ai, llm, mcp, meeting-agent, meeting-assistant, meeting-notes, productivity, python, transcription, voice-ai",2025,0,,,,,668.5
felipfr,"A curated collection of awesome n8n workflows for automation, integration, and productivity. Explore ready-to-use JSON workflows for analytics, communication, CRM, e-commerce, finance, HR, marketing, monitoring, security, and more.",GitHub,https://github.com/felipfr/awesome-n8n-workflows,,332,63,4.048780487804878,624.0,,"automation, integration, n8n, productivity, workflow",2025,0,,,,,624.0
oxygen-fragment,"Production-ready modular Claude Code framework with 30+ commands, token optimization, and MCP server integration. Achieves 2-10x productivity gains through   systematic command organization and hierarchical configuration.",GitHub,https://github.com/oxygen-fragment/claude-modular,,259,40,2.4903846153846154,468.5,,"adhd-friendly, ai-development, claude-code, development-workflow, modular-framework, mpc-servers, productivity, template-repository, token-optimization",2025,0,,,,,468.5
gwendall,"🚀 Give Claude AI superpowers for GitHub workflows. Transform ""fix stuff"" commits into professional messages, generate intelligent changelogs, and get AI code reviews - all with one command.",GitHub,https://github.com/gwendall/superclaude,https://superclaude.sh,263,28,2.0387596899224807,450.5,Shell,"ai, anthropic, automation, changelog, claude, code-review, commit-messages, developer-tools, documentation, github, productivity, workflow",2025,0,,,,,450.5
klpod221,// Modern Terminal Emulator & SSH Manager,GitHub,https://github.com/klpod221/kerminal,http://klpod221.com/kerminal/,236,18,3.4705882352941178,390.0,Rust,"command-automation, connection-manager, cross-platform, developer-tools, modern-ui, nodejs, productivity, remote-access, rust, ssh, ssh-client, ssh-tunnel, system-administration, tailwindcss, tauri, terminal, terminal-emulator, typescript, vue3, xterm",2025,0,,,,,390.0
jeremylongshore,Claude Code Plugins Hub — browse and install 227 plugins. Featuring Skills Powerkit - first Agent Skills plugin.,GitHub,https://github.com/jeremylongshore/claude-code-plugins-plus,https://claudecodeplugins.io,208,27,11.555555555555555,366.0,JavaScript,"ai, automation, claude-code, devops, marketplace, mcp, plugins, productivity",2025,0,,,,,366.0
inmve,"AI coding tools that give free Claude Opus/Sonnet, GPT-5, Gemini Pro, and other pro-grade models",GitHub,https://github.com/inmve/free-ai-coding,,209,23,2.488095238095238,359.5,,"ai, ai-tools, awesome-list, code-generation, coding-assistant, llm, productivity",2025,0,,,,,359.5
wshobson,MaverickMCP - Personal Stock Analysis MCP Server,GitHub,https://github.com/wshobson/maverick-mcp,https://sethhobson.com,187,38,2.876923076923077,356.5,Python,"anthropic, artificial-intelligence, claude, equities, fastmcp, finance, financial-analysis, fintech, investing, mcp, mcp-server, mcp-servers, pandas, python, stock-market, stocks, technical-analysis, tiingo, tiingo-api, trading",2025,0,,,,,356.5
invest-composer,Composer's MCP server lets MCP-enabled LLMs like Claude backtest trading ideas and automatically invest in them for you,GitHub,https://github.com/invest-composer/composer-trade-mcp,,187,35,1.449612403100775,350.5,Python,"ai-trading, automated-trading-strategies, backtesting, claude-desktop, fintech, mcp, mcp-server, trading, trading-algorithms, trading-strategies",2025,0,,,,,350.5
digitalocean,"A production-ready Next.js SaaS notes starter kit on DigitalOcean App Platform — includes GradientAI, Stripe payments, Resend email, and Spaces storage.",GitHub,https://github.com/digitalocean/sea-notes-saas-starter-kit,,97,85,0.7886178861788617,315.5,TypeScript,"app-template, digitalocean, gradientai, hacktoberfest, nextjs, postgresql, prisma, resend-email, saas, starter-kit, stripe, typescript",2025,0,,,,,315.5
metorial,The engine powering hundreds of thousands of MCP connections 🤖 🔥,GitHub,https://github.com/metorial/metorial-platform,https://metorial.com/,180,8,1.0112359550561798,286.0,TypeScript,"agentic-ai, ai, mcp, mcp-server, saas",2025,0,,,,,286.0
Deyweaver,AI-powered task planner to structure your day with smart scheduling.,GitHub,https://github.com/Deyweaver/DeyWeaver,https://deyweaver.live,163,20,1.0794701986754967,284.5,TypeScript,"ai-powered, calendar, daily-planner, organization-tool, personal-ai, productivity, task-manager",2025,0,,,,,284.5
guangxiangdebizi,TradingAgents-MCPmode 是一个创新的多智能体交易分析系统，集成了 Model Context Protocol (MCP) 工具，实现了智能化的股票分析和交易决策流程。系统通过多个专业化智能体的协作，提供全面的市场分析、投资建议和风险管理。,GitHub,https://github.com/guangxiangdebizi/TradingAgents-MCPmode,http://47.79.147.241:8501/,132,41,1.434782608695652,280.0,Python,"agent, finance, fintech, index, llm, mcp, stocks, tradingbot",2025,0,,,,,280.0
vibe-log,A CLI tool for analyzing Claude Code sessions,GitHub,https://github.com/vibe-log/vibe-log-cli,https://vibe-log.dev,151,10,2.0405405405405403,246.5,TypeScript,"ai-coding, analysis, building-in-public, claude, claude-code, journaling, logging, productivity, project-management, vibe-coding",2025,0,,,,,246.5
Appaxaap,Offline-first Eisenhower Matrix productivity app,GitHub,https://github.com/Appaxaap/Focus,https://eisenhowerapp.framer.website/,148,7,1.2032520325203253,236.0,Dart,"eisenhower-matrix, eisenhower-method-of-prioritization, offline-first, priority, productivity, tools",2025,0,,,,,236.0
rsandx,"AlphaSuite is an open-source quantitative analysis platform that gives you the power to build, test, and deploy professional-grade trading strategies. It's designed for traders and analysts who want to move beyond simple backtests and develop a genuine, data-driven edge in the financial markets.",GitHub,https://github.com/rsandx/AlphaSuite,https://alphasuite.aitransformer.net,101,42,1.6290322580645162,235.5,Python,"algorithmic-trading, backtesting, data-analysis, fintech, langchain, machine-learning, python, quantitative-finance, streamlit, yfinance",2025,0,,,,,235.5
argus-sight,"Refund Swatter Lite significantly reduces malicious refund risks by processing Apple's CONSUMPTION_REQUEST notifications and sending detailed consumption data back to Apple within the required 12-hour window, enabling Apple to make informed decisions on refund requests.",GitHub,https://github.com/argus-sight/refund-swatter-lite,https://lite.refundswatter.com,143,10,2.3442622950819674,234.5,TypeScript,"anti-abuse, app-store, app-store-server-api, app-store-server-notifications, chargeback, consumption-data, consumption-request, deno, fraud-prevention, iap, in-app-purchase, ios, open-source-saas, refund, refund-prevention, saas, security, serverless, subscription-management, supabase",2025,0,,,,,234.5
eiondb,Shared Memory Storage for Multi-Agent Systems,GitHub,https://github.com/eiondb/eion,https://www.eiondb.com/,128,10,0.9922480620155039,212.0,Go,"a2a, agent-memory, agentic-ai, ai, ai-agents, database, distributed-intelligenet-agents, intelligent-networks, knowledge-graph, llm, mcp, mcp-server, memory, memory-layer, multiagent-systems, neo4j, open-source, postgres, saas, vector-database",2025,0,,,,,212.0
wisamidris77,"Building a workout routine, reading every day, or breaking bad habits—made simple",GitHub,https://github.com/wisamidris77/flux,,109,8,0.689873417721519,179.5,Dart,"android-app, cross-platform, dart, flutter-app, habit-tracker, habits, ios-app, productivity, self-improvement",2025,0,,,,,179.5
remvze,🏡 | A dead-simple online workstation.,GitHub,https://github.com/remvze/haus,https://use.haus,105,7,1.1538461538461537,171.5,TypeScript,"ambience, ambient, notes, pomodoro, pomodoro-timer, productivity, todo, todos, white-noise, workspace, workstation",2025,0,,,,,171.5
taskade,"🤖 Taskade MCP · Official MCP server and OpenAPI to MCP codegen. Build AI agent tools from any OpenAPI API and connect to Claude, Cursor, and more.",GitHub,https://github.com/taskade/mcp,https://taskade.com/blog/mcp,90,18,0.5806451612903226,171.0,TypeScript,"ai, ai-agent, ai-agents, autonomous-agents, integrations, mcp, mcp-server, mcp-tools, model-context-protocol, model-context-protocol-server, model-context-protocol-servers, no-code-automation, openapi, openapi-codegen, openapi3, productivity, taskade, workflow, workflow-automation, workflows",2025,0,,,,,171.0
leeguooooo,"Real‑time statusline for Claude Code: token usage, remaining budget, burn rate, and depletion time",GitHub,https://github.com/leeguooooo/claude-code-usage-bar,,109,2,1.5797101449275361,167.5,Python,"ai-tools, claude-ai, cli-tool, developer-tools, monitoring, productivity, python, status-bar, terminal-ui, tmux, token-monitoring, usage-tracking",2025,0,,,,,167.5
spacefarers,,GitHub,https://github.com/spacefarers/Dropp,https://dropp.yangm.tech,109,2,1.028301886792453,167.5,Swift,"android, file-management, macos, productivity",2025,0,,,,,167.5
amicalhq,"🎙️ Open Source AI Dictation App ⚡ Type 3x faster, no keyboard needed.",GitHub,https://github.com/amicalhq/amical,https://amical.ai,100,8,0.5813953488372093,166.0,TypeScript,"ai, ai-note-taking-app, asr, dictate, dictation, dictation-tool, electron, macos, mcp, meeting-notes, nextjs, productivity, self-hosted, speech-to-text, transcription, whisper",2025,0,,,,,166.0
DirectorySurf,"Curated list of platforms where you can launch, promote, and showcase your startup, product, or side project.",GitHub,https://github.com/DirectorySurf/awesome-launch-platforms,,91,11,0.610738255033557,158.5,,"altern, betalist, betapage, indiehacker, indiehackers, indiehacking, indiemaker, indiemaking, launch, launch-platforms, producthunt, startup, startups",2025,0,,,,,158.5
faithleysath,一个靠谱的 AI 命令行老哥，能把人话直接干成 Shell 命令，顺便让 man和tldr 提前退休。,GitHub,https://github.com/faithleysath/fuckit.sh,https://fuckit.sh,88,7,44.0,146.0,Shell,"ai, bash, cli, cloudflare-workers, command-line, developer-tools, gemini, natural-language, openai, productivity, shell, zsh",2025,0,,,,,146.0
terrytangyuan,"A comprehensive social media management tool designed to help you create, format, and post content across multiple platforms including LinkedIn, Twitter/X, Bluesky, and Mastodon. Features advanced styling, tagging, reminder, OAuth authentication, and cross-platform posting capabilities. Free and open source.",GitHub,https://github.com/terrytangyuan/social-media-kit,,76,13,0.7102803738317757,140.0,TypeScript,"bluesky, content-creation, creator-tools, linkedin, mastodon, multi-platform, open-source, productivity, social-media, twitter",2025,0,,,,,140.0
DVampire,FinWorld: An All-in-One Open-Source Platform for End-to-End Financial AI Research and Deployment,GitHub,https://github.com/DVampire/FinWorld,https://dvampire.github.io/FinWorld/,74,14,0.7789473684210526,139.0,JavaScript,"agent, deep-learning, fintech, framework, llm, machine-learning, reinforcement-learning",2025,0,,,,,139.0
jerlinn,AI-powered quantitative trading analysis tool with precise technical indicators and intelligent insights,GitHub,https://github.com/jerlinn/PulseTrader,,51,9,0.68,94.5,Python,"fintech, llm, plotly, quantitative-trading, stock-analysis",2025,0,,,,,94.5
