name,repo_name,description,github_url,homepage,stars,forks,watchers,open_issues,language,topics,created_at,updated_at,last_push,momentum_score,days_old,star_velocity,fork_ratio
JerryZLiu,Dayflow,"Generate a timeline of your day, automatically",https://github.com/JerryZLiu/Dayflow,,3769,157,3769,12,Swift,"gemini, lmstudio, ollama, productivity, productivity-tools, swift, time, timeline",2025-09-23 01:58:21+00:00,2025-10-28T17:52:55Z,2025-10-24T04:09:03Z,5967.5,35,107.68571428571428,0.04165561156805519
vicinaehq,vicinae,"A focused launcher for your desktop — native, fast, extensible",https://github.com/vicinaehq/vicinae,https://docs.vicinae.com,3324,76,3324,63,C++,"app-launcher, linux, nodejs, poweruser, productivity, qt, raycast, react",2025-07-28 03:49:03+00:00,2025-10-28T17:30:07Z,2025-10-28T16:25:41Z,5138.0,92,36.130434782608695,0.02286401925391095
EdoStra,Marketing-for-Founders,Practical marketing resources to get the first 10/100/1000 users for your SaaS/App/Startup,https://github.com/EdoStra/Marketing-for-Founders,,2277,247,2277,5,,"collection, educational, growth, list, marketing, resources, saas, startup",2025-05-19 13:29:04+00:00,2025-10-28T18:02:38Z,2025-10-22T17:09:22Z,3909.5,162,14.055555555555555,0.10847606499780413
deta,surf,"Personal AI Notebooks. Organize files & webpages and generate notes from them. Open source, local & open data, open model choice (incl. local).",https://github.com/deta/surf,https://deta.surf,2049,131,2049,19,TypeScript,"claude, deepseek, gemma, knowledge-base, knowledge-management, llm, local, local-llm, ollama, openai, productivity, rust, svelte, typescript",2025-10-20 15:09:57+00:00,2025-10-28T18:23:17Z,2025-10-28T16:20:50Z,3335.5,8,256.125,0.063933626159102
wshobson,commands,A collection of production-ready slash commands for Claude Code,https://github.com/wshobson/commands,https://sethhobson.com,1027,147,1027,2,,"ai, ai-agents, anthropic, automation, claude, claude-code, claude-commands, claudecode, claudecode-config, orchestration, productivity, slash-command, slash-commands, slashcommands, workflows",2025-06-14 16:43:24+00:00,2025-10-28T18:21:08Z,2025-10-12T00:45:28Z,1834.5,136,7.551470588235294,0.14313534566699124
qdhenry,Claude-Command-Suite,"Professional slash commands for Claude Code that provide   structured workflows for software development tasks including   code review, feature creation, security auditing, and architectural analysis.",https://github.com/qdhenry/Claude-Command-Suite,https://docs.anthropic.com/en/docs/claude-code,787,77,787,1,Shell,"ai-tools, anthropic, claude-code, cli-tools, code-review, developer-tools, productivity, security-audit, slash-commands, software-development, workflow-automation",2025-06-13 01:49:01+00:00,2025-10-28T17:54:18Z,2025-10-19T17:17:39Z,1334.5,137,5.744525547445256,0.09783989834815757
dohsimpson,TaskTrove,TaskTrove is a modern Todo Manager that is fully self-hostable.,https://github.com/dohsimpson/TaskTrove,https://tasktrove.io,688,10,688,14,TypeScript,"api, calendar, docker, kanban, productivity, project-management, react, self-hosted, todo, todoapp, todolist",2025-07-10 02:10:59+00:00,2025-10-28T16:51:24Z,2025-10-28T04:42:03Z,1052.0,110,6.254545454545455,0.014534883720930232
danielmiessler,Personal_AI_Infrastructure,Personal AI Infrastructure for upgrading humans.,https://github.com/danielmiessler/Personal_AI_Infrastructure,,502,101,502,2,JavaScript,"ai, augmentation, productivity",2025-09-08 16:18:30+00:00,2025-10-28T15:57:56Z,2025-10-28T01:34:05Z,955.0,50,10.04,0.20119521912350596
unhappychoice,gittype,A CLI code-typing game that turns your source code into typing challenges,https://github.com/unhappychoice/gittype,,589,14,589,16,Rust,"cli-game, cli-tool, code-practice, coding-skills, gamification, learning-tool, productivity, programming, ratatui, rust, terminal-game, touch-typing, tree-sitter, typing-game, typing-practice, typing-test, typing-trainer, typingtest",2025-08-28 15:57:14+00:00,2025-10-28T12:37:38Z,2025-10-27T23:02:36Z,911.5,61,9.655737704918034,0.023769100169779286
AnoyRC,priospace,All-in-one Productivity App,https://github.com/AnoyRC/priospace,https://prio.space/home,528,50,528,8,JavaScript,"ios, mac, open-source, private, productivity, website, windows",2025-07-20 15:49:37+00:00,2025-10-22T03:31:27Z,2025-10-06T05:55:44Z,892.0,100,5.28,0.0946969696969697
ysm-dev,cpdown,📥 cpdown - Copy to clipboard any webpage content/youtube subtitle as clean markdown with one click or shortcut,https://github.com/ysm-dev/cpdown,https://chromewebstore.google.com/detail/cpdown/knnaflplggjdedobhbidojmmnocfbopf,485,22,485,7,TypeScript,"extension, llm, markdown, productivity, react, subtitle, wxt, youtube",2025-05-20 00:45:12+00:00,2025-10-27T19:01:35Z,2025-10-27T01:48:44Z,771.5,161,3.012422360248447,0.04536082474226804
joinly-ai,joinly,Make your meetings accessible to AI Agents,https://github.com/joinly-ai/joinly,https://joinly.ai,383,47,383,3,Python,"agentic-ai, ai-agent, ai-tool, conversational-ai, llm, mcp, meeting-agent, meeting-assistant, meeting-notes, productivity, python, transcription, voice-ai",2025-05-29 01:21:02+00:00,2025-10-28T17:23:02Z,2025-10-05T12:47:23Z,668.5,152,2.5197368421052633,0.1227154046997389
felipfr,awesome-n8n-workflows,"A curated collection of awesome n8n workflows for automation, integration, and productivity. Explore ready-to-use JSON workflows for analytics, communication, CRM, e-commerce, finance, HR, marketing, monitoring, security, and more.",https://github.com/felipfr/awesome-n8n-workflows,,332,63,332,0,,"automation, integration, n8n, productivity, workflow",2025-08-07 15:39:26+00:00,2025-10-28T05:34:36Z,2025-08-08T14:15:29Z,624.0,82,4.048780487804878,0.1897590361445783
oxygen-fragment,claude-modular,"Production-ready modular Claude Code framework with 30+ commands, token optimization, and MCP server integration. Achieves 2-10x productivity gains through   systematic command organization and hierarchical configuration.",https://github.com/oxygen-fragment/claude-modular,,259,40,259,7,,"adhd-friendly, ai-development, claude-code, development-workflow, modular-framework, mpc-servers, productivity, template-repository, token-optimization",2025-07-16 08:04:15+00:00,2025-10-18T08:26:33Z,2025-07-16T10:27:32Z,468.5,104,2.4903846153846154,0.15444015444015444
gwendall,superclaude,"🚀 Give Claude AI superpowers for GitHub workflows. Transform ""fix stuff"" commits into professional messages, generate intelligent changelogs, and get AI code reviews - all with one command.",https://github.com/gwendall/superclaude,https://superclaude.sh,263,28,263,1,Shell,"ai, anthropic, automation, changelog, claude, code-review, commit-messages, developer-tools, documentation, github, productivity, workflow",2025-06-21 07:05:01+00:00,2025-10-27T11:23:34Z,2025-06-25T16:08:20Z,450.5,129,2.0387596899224807,0.10646387832699619
klpod221,kerminal,// Modern Terminal Emulator & SSH Manager,https://github.com/klpod221/kerminal,http://klpod221.com/kerminal/,236,18,236,1,Rust,"command-automation, connection-manager, cross-platform, developer-tools, modern-ui, nodejs, productivity, remote-access, rust, ssh, ssh-client, ssh-tunnel, system-administration, tailwindcss, tauri, terminal, terminal-emulator, typescript, vue3, xterm",2025-08-21 09:08:50+00:00,2025-10-28T03:45:38Z,2025-10-28T03:45:35Z,390.0,68,3.4705882352941178,0.07627118644067797
jeremylongshore,claude-code-plugins-plus,Claude Code Plugins Hub — browse and install 227 plugins. Featuring Skills Powerkit - first Agent Skills plugin.,https://github.com/jeremylongshore/claude-code-plugins-plus,https://claudecodeplugins.io,208,27,208,12,JavaScript,"ai, automation, claude-code, devops, marketplace, mcp, plugins, productivity",2025-10-10 01:01:00+00:00,2025-10-28T15:48:06Z,2025-10-28T05:28:32Z,366.0,18,11.555555555555555,0.12980769230769232
inmve,free-ai-coding,"AI coding tools that give free Claude Opus/Sonnet, GPT-5, Gemini Pro, and other pro-grade models",https://github.com/inmve/free-ai-coding,,209,23,209,0,,"ai, ai-tools, awesome-list, code-generation, coding-assistant, llm, productivity",2025-08-04 19:52:24+00:00,2025-10-28T15:50:05Z,2025-10-28T12:45:38Z,359.5,84,2.488095238095238,0.11004784688995216
wshobson,maverick-mcp,MaverickMCP - Personal Stock Analysis MCP Server,https://github.com/wshobson/maverick-mcp,https://sethhobson.com,187,38,187,6,Python,"anthropic, artificial-intelligence, claude, equities, fastmcp, finance, financial-analysis, fintech, investing, mcp, mcp-server, mcp-servers, pandas, python, stock-market, stocks, technical-analysis, tiingo, tiingo-api, trading",2025-08-24 15:24:20+00:00,2025-10-28T14:24:03Z,2025-10-27T21:31:52Z,356.5,65,2.876923076923077,0.20320855614973263
invest-composer,composer-trade-mcp,Composer's MCP server lets MCP-enabled LLMs like Claude backtest trading ideas and automatically invest in them for you,https://github.com/invest-composer/composer-trade-mcp,,187,35,187,4,Python,"ai-trading, automated-trading-strategies, backtesting, claude-desktop, fintech, mcp, mcp-server, trading, trading-algorithms, trading-strategies",2025-06-21 16:59:57+00:00,2025-10-25T23:56:00Z,2025-08-19T14:07:17Z,350.5,129,1.449612403100775,0.18716577540106952
digitalocean,sea-notes-saas-starter-kit,"A production-ready Next.js SaaS notes starter kit on DigitalOcean App Platform — includes GradientAI, Stripe payments, Resend email, and Spaces storage.",https://github.com/digitalocean/sea-notes-saas-starter-kit,,97,85,97,20,TypeScript,"app-template, digitalocean, gradientai, hacktoberfest, nextjs, postgresql, prisma, resend-email, saas, starter-kit, stripe, typescript",2025-06-27 15:32:45+00:00,2025-10-27T08:07:53Z,2025-09-25T14:53:11Z,315.5,123,0.7886178861788617,0.8762886597938144
metorial,metorial-platform,The engine powering hundreds of thousands of MCP connections 🤖 🔥,https://github.com/metorial/metorial-platform,https://metorial.com/,180,8,180,1,TypeScript,"agentic-ai, ai, mcp, mcp-server, saas",2025-05-03 17:46:38+00:00,2025-10-28T13:54:16Z,2025-10-27T19:00:16Z,286.0,178,1.0112359550561798,0.044444444444444446
Deyweaver,DeyWeaver,AI-powered task planner to structure your day with smart scheduling.,https://github.com/Deyweaver/DeyWeaver,https://deyweaver.live,163,20,163,1,TypeScript,"ai-powered, calendar, daily-planner, organization-tool, personal-ai, productivity, task-manager",2025-05-30 10:51:23+00:00,2025-10-26T13:11:02Z,2025-10-25T11:15:19Z,284.5,151,1.0794701986754967,0.12269938650306748
guangxiangdebizi,TradingAgents-MCPmode,TradingAgents-MCPmode 是一个创新的多智能体交易分析系统，集成了 Model Context Protocol (MCP) 工具，实现了智能化的股票分析和交易决策流程。系统通过多个专业化智能体的协作，提供全面的市场分析、投资建议和风险管理。,https://github.com/guangxiangdebizi/TradingAgents-MCPmode,http://47.79.147.241:8501/,132,41,132,5,Python,"agent, finance, fintech, index, llm, mcp, stocks, tradingbot",2025-07-28 08:23:49+00:00,2025-10-27T11:50:20Z,2025-10-16T03:05:35Z,280.0,92,1.434782608695652,0.3106060606060606
vibe-log,vibe-log-cli,A CLI tool for analyzing Claude Code sessions,https://github.com/vibe-log/vibe-log-cli,https://vibe-log.dev,151,10,151,5,TypeScript,"ai-coding, analysis, building-in-public, claude, claude-code, journaling, logging, productivity, project-management, vibe-coding",2025-08-15 15:40:57+00:00,2025-10-28T13:28:36Z,2025-10-27T18:31:18Z,246.5,74,2.0405405405405403,0.06622516556291391
Appaxaap,Focus,Offline-first Eisenhower Matrix productivity app,https://github.com/Appaxaap/Focus,https://eisenhowerapp.framer.website/,148,7,148,6,Dart,"eisenhower-matrix, eisenhower-method-of-prioritization, offline-first, priority, productivity, tools",2025-06-27 15:41:12+00:00,2025-10-27T20:15:09Z,2025-10-06T08:43:12Z,236.0,123,1.2032520325203253,0.0472972972972973
rsandx,AlphaSuite,"AlphaSuite is an open-source quantitative analysis platform that gives you the power to build, test, and deploy professional-grade trading strategies. It's designed for traders and analysts who want to move beyond simple backtests and develop a genuine, data-driven edge in the financial markets.",https://github.com/rsandx/AlphaSuite,https://alphasuite.aitransformer.net,101,42,101,1,Python,"algorithmic-trading, backtesting, data-analysis, fintech, langchain, machine-learning, python, quantitative-finance, streamlit, yfinance",2025-08-27 01:28:51+00:00,2025-10-28T08:09:22Z,2025-10-28T02:03:23Z,235.5,62,1.6290322580645162,0.4158415841584158
argus-sight,refund-swatter-lite,"Refund Swatter Lite significantly reduces malicious refund risks by processing Apple's CONSUMPTION_REQUEST notifications and sending detailed consumption data back to Apple within the required 12-hour window, enabling Apple to make informed decisions on refund requests.",https://github.com/argus-sight/refund-swatter-lite,https://lite.refundswatter.com,143,10,143,1,TypeScript,"anti-abuse, app-store, app-store-server-api, app-store-server-notifications, chargeback, consumption-data, consumption-request, deno, fraud-prevention, iap, in-app-purchase, ios, open-source-saas, refund, refund-prevention, saas, security, serverless, subscription-management, supabase",2025-08-28 09:04:32+00:00,2025-10-26T17:10:11Z,2025-09-30T06:32:51Z,234.5,61,2.3442622950819674,0.06993006993006994
eiondb,eion,Shared Memory Storage for Multi-Agent Systems,https://github.com/eiondb/eion,https://www.eiondb.com/,128,10,128,0,Go,"a2a, agent-memory, agentic-ai, ai, ai-agents, database, distributed-intelligenet-agents, intelligent-networks, knowledge-graph, llm, mcp, mcp-server, memory, memory-layer, multiagent-systems, neo4j, open-source, postgres, saas, vector-database",2025-06-20 21:05:00+00:00,2025-10-24T06:39:26Z,2025-07-02T15:26:47Z,212.0,129,0.9922480620155039,0.078125
wisamidris77,flux,"Building a workout routine, reading every day, or breaking bad habits—made simple",https://github.com/wisamidris77/flux,,109,8,109,4,Dart,"android-app, cross-platform, dart, flutter-app, habit-tracker, habits, ios-app, productivity, self-improvement",2025-05-23 01:18:54+00:00,2025-10-25T23:09:03Z,2025-08-16T18:11:11Z,179.5,158,0.689873417721519,0.07339449541284404
remvze,haus,🏡 | A dead-simple online workstation.,https://github.com/remvze/haus,https://use.haus,105,7,105,1,TypeScript,"ambience, ambient, notes, pomodoro, pomodoro-timer, productivity, todo, todos, white-noise, workspace, workstation",2025-07-29 16:26:37+00:00,2025-10-28T11:05:05Z,2025-10-25T15:38:24Z,171.5,91,1.1538461538461537,0.06666666666666667
taskade,mcp,"🤖 Taskade MCP · Official MCP server and OpenAPI to MCP codegen. Build AI agent tools from any OpenAPI API and connect to Claude, Cursor, and more.",https://github.com/taskade/mcp,https://taskade.com/blog/mcp,90,18,90,2,TypeScript,"ai, ai-agent, ai-agents, autonomous-agents, integrations, mcp, mcp-server, mcp-tools, model-context-protocol, model-context-protocol-server, model-context-protocol-servers, no-code-automation, openapi, openapi-codegen, openapi3, productivity, taskade, workflow, workflow-automation, workflows",2025-05-26 01:57:12+00:00,2025-10-27T07:46:05Z,2025-05-30T22:24:41Z,171.0,155,0.5806451612903226,0.2
spacefarers,Dropp,,https://github.com/spacefarers/Dropp,https://dropp.yangm.tech,109,2,109,0,Swift,"android, file-management, macos, productivity",2025-07-13 20:39:04+00:00,2025-10-28T18:38:56Z,2025-10-25T01:39:15Z,167.5,106,1.028301886792453,0.01834862385321101
leeguooooo,claude-code-usage-bar,"Real‑time statusline for Claude Code: token usage, remaining budget, burn rate, and depletion time",https://github.com/leeguooooo/claude-code-usage-bar,,109,2,109,1,Python,"ai-tools, claude-ai, cli-tool, developer-tools, monitoring, productivity, python, status-bar, terminal-ui, tmux, token-monitoring, usage-tracking",2025-08-20 01:43:23+00:00,2025-10-22T13:29:08Z,2025-09-03T02:57:06Z,167.5,69,1.5797101449275361,0.01834862385321101
amicalhq,amical,"🎙️ Open Source AI Dictation App ⚡ Type 3x faster, no keyboard needed.",https://github.com/amicalhq/amical,https://amical.ai,100,8,100,4,TypeScript,"ai, ai-note-taking-app, asr, dictate, dictation, dictation-tool, electron, macos, mcp, meeting-notes, nextjs, productivity, self-hosted, speech-to-text, transcription, whisper",2025-05-08 22:08:58+00:00,2025-10-28T15:33:09Z,2025-10-27T17:12:20Z,166.0,172,0.5813953488372093,0.08
DirectorySurf,awesome-launch-platforms,"Curated list of platforms where you can launch, promote, and showcase your startup, product, or side project.",https://github.com/DirectorySurf/awesome-launch-platforms,,91,11,91,3,,"altern, betalist, betapage, indiehacker, indiehackers, indiehacking, indiemaker, indiemaking, launch, launch-platforms, producthunt, startup, startups",2025-06-01 09:29:10+00:00,2025-10-21T16:37:38Z,2025-09-29T16:28:09Z,158.5,149,0.610738255033557,0.12087912087912088
faithleysath,fuckit.sh,一个靠谱的 AI 命令行老哥，能把人话直接干成 Shell 命令，顺便让 man和tldr 提前退休。,https://github.com/faithleysath/fuckit.sh,https://fuckit.sh,88,7,88,3,Shell,"ai, bash, cli, cloudflare-workers, command-line, developer-tools, gemini, natural-language, openai, productivity, shell, zsh",2025-10-26 12:25:47+00:00,2025-10-28T18:30:06Z,2025-10-28T15:27:07Z,146.0,2,44.0,0.07954545454545454
terrytangyuan,social-media-kit,"A comprehensive social media management tool designed to help you create, format, and post content across multiple platforms including LinkedIn, Twitter/X, Bluesky, and Mastodon. Features advanced styling, tagging, reminder, OAuth authentication, and cross-platform posting capabilities. Free and open source.",https://github.com/terrytangyuan/social-media-kit,,76,13,76,2,TypeScript,"bluesky, content-creation, creator-tools, linkedin, mastodon, multi-platform, open-source, productivity, social-media, twitter",2025-07-13 02:59:00+00:00,2025-09-26T00:18:24Z,2025-09-26T00:18:20Z,140.0,107,0.7102803738317757,0.17105263157894737
DVampire,FinWorld,FinWorld: An All-in-One Open-Source Platform for End-to-End Financial AI Research and Deployment,https://github.com/DVampire/FinWorld,https://dvampire.github.io/FinWorld/,74,14,74,1,JavaScript,"agent, deep-learning, fintech, framework, llm, machine-learning, reinforcement-learning",2025-07-25 09:06:38+00:00,2025-10-26T14:00:02Z,2025-10-07T10:46:34Z,139.0,95,0.7789473684210526,0.1891891891891892
jerlinn,PulseTrader,AI-powered quantitative trading analysis tool with precise technical indicators and intelligent insights,https://github.com/jerlinn/PulseTrader,,51,9,51,0,Python,"fintech, llm, plotly, quantitative-trading, stock-analysis",2025-08-14 06:58:49+00:00,2025-10-25T03:56:25Z,2025-08-22T16:02:05Z,94.5,75,0.68,0.17647058823529413
